Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Gammel Dansk Hønsehund	Denmark	281	Old Danish Pointing Dog	https://www.fci.be/en/nomenclature/OLD-DANISH-POINTING-DOG-281.html	Pointing	Definitive
Braque De L'Ariege	France	177	Ariege Pointing Dog	https://www.fci.be/en/nomenclature/ARIEGE-POINTING-DOG-177.html	Pointing	Definitive
Braque D'Auvergne	France	180	Auvergne Pointer	https://www.fci.be/en/nomenclature/AUVERGNE-POINTER-180.html	Pointing	Definitive
Braque Du Bourbonnais	France	179	Bourbonnais Pointing Dog	https://www.fci.be/en/nomenclature/BOURBONNAIS-POINTING-DOG-179.html	Pointing	Definitive
Braque Français - Type Gascogne	France	133	French Pointing Dog - Gascogne Type	https://www.fci.be/en/nomenclature/FRENCH-POINTING-DOG-GASCOGNE-TYPE-133.html	Pointing	Definitive
Braque Français - Type Pyrenees	France	134	French Pointing Dog - Pyrenean Type	https://www.fci.be/en/nomenclature/FRENCH-POINTING-DOG-PYRENEAN-TYPE-134.html	Pointing	Definitive
Braque Saint-Germain	France	115	Saint Germain Pointer	https://www.fci.be/en/nomenclature/SAINT-GERMAIN-POINTER-115.html	Pointing	Definitive
Deutsch Stichelhaar	Germany	232		https://www.fci.be/en/nomenclature/DEUTSCH-STICHELHAAR-232.html	Pointing	Definitive
Deutsch Kurzhaar	Germany	119	German Short- Haired Pointing Dog	https://www.fci.be/en/nomenclature/GERMAN-SHORT-HAIRED-POINTING-DOG-119.html	Pointing	Definitive
Deutsch Drahthaar	Germany	98	German Wire- Haired Pointing Dog	https://www.fci.be/en/nomenclature/GERMAN-WIRE-HAIRED-POINTING-DOG-98.html	Pointing	Definitive
Pudelpointer	Germany	216		https://www.fci.be/en/nomenclature/PUDELPOINTER-216.html	Pointing	Definitive
Weimaraner	Germany	99		https://www.fci.be/en/nomenclature/WEIMARANER-99.html	Pointing	Definitive
Rövidszörü Magyar Vizsla	Hungary	57	Hungarian Short-Haired Pointer (Vizsla)	https://www.fci.be/en/nomenclature/HUNGARIAN-SHORT-HAIRED-POINTER-VIZSLA-57.html	Pointing	Definitive
Drötzörü  Magyar Vizsla	Hungary	239	Hungarian Wire-Haired Pointer	https://www.fci.be/en/nomenclature/HUNGARIAN-WIRE-HAIRED-POINTER-239.html	Pointing	Definitive
Bracco Italiano	Italy	202	Italian Pointing Dog	https://www.fci.be/en/nomenclature/ITALIAN-POINTING-DOG-202.html	Pointing	Definitive
Perdigueiro Português	Portugal	187	Portuguese Pointing Dog	https://www.fci.be/en/nomenclature/PORTUGUESE-POINTING-DOG-187.html	Pointing	Definitive
Slovenský Hrubosrstý Stavac (Ohar)	Slovakia	320	Wirehaired Slovakian Pointer	https://www.fci.be/en/nomenclature/WIREHAIRED-SLOVAKIAN-POINTER-320.html	Pointing	Definitive
Perdiguero De Burgos	Spain	90	Burgos Pointing Dog	https://www.fci.be/en/nomenclature/BURGOS-POINTING-DOG-90.html	Pointing	Definitive
Epagneul Bleu De Picardie	France	106	Blue Picardy Spaniel	https://www.fci.be/en/nomenclature/BLUE-PICARDY-SPANIEL-106.html	Pointing	Definitive
Epagneul Breton	France	95	Brittany Spaniel	https://www.fci.be/en/nomenclature/BRITTANY-SPANIEL-95.html	Pointing	Definitive
Epagneul Français	France	175	French Spaniel	https://www.fci.be/en/nomenclature/FRENCH-SPANIEL-175.html	Pointing	Definitive
Epagneul Picard	France	108	Picardy Spaniel	https://www.fci.be/en/nomenclature/PICARDY-SPANIEL-108.html	Pointing	Definitive
Epagneul De Pont-Audemer	France	114	Pont-Audemer Spaniel	https://www.fci.be/en/nomenclature/PONT-AUDEMER-SPANIEL-114.html	Pointing	Definitive
Deutsch Langhaar	Germany	117		https://www.fci.be/en/nomenclature/DEUTSCH-LANGHAAR-117.html	Pointing	Definitive
Kleiner Münsterländer	Germany	102		https://www.fci.be/en/nomenclature/KLEINER-MUNSTERLANDER-102.html	Pointing	Definitive
Grosser Münsterländer Vorstehhund	Germany	118	Large Munsterlander	https://www.fci.be/en/nomenclature/LARGE-MUNSTERLANDER-118.html	Pointing	Definitive
Drentsche Patrijshond	The Netherlands	224	Drentsche Partridge Dog	https://www.fci.be/en/nomenclature/DRENTSCHE-PARTRIDGE-DOG-224.html	Pointing	Definitive
Stabijhoun	The Netherlands	222		https://www.fci.be/en/nomenclature/STABIJHOUN-222.html	Pointing	Definitive
Ceský Fousek	Czech Republic	245	Bohemian Wire-Haired Pointing Griffon	https://www.fci.be/en/nomenclature/BOHEMIAN-WIRE-HAIRED-POINTING-GRIFFON-245.html	Pointing	Definitive
Griffon A Poil Dur Korthals	France	107	Wire-Haired Pointing Griffon Korthals	https://www.fci.be/en/nomenclature/WIRE-HAIRED-POINTING-GRIFFON-KORTHALS-107.html	Pointing	Definitive
Spinone Italiano	Italy	165	Italian Spinone	https://www.fci.be/en/nomenclature/ITALIAN-SPINONE-165.html	Pointing	Definitive
English Pointer	Great Britain	1		https://www.fci.be/en/nomenclature/ENGLISH-POINTER-1.html	Pointing	Definitive
English Setter	Great Britain	2		https://www.fci.be/en/nomenclature/ENGLISH-SETTER-2.html	Pointing	Definitive
Gordon Setter	Great Britain	6		https://www.fci.be/en/nomenclature/GORDON-SETTER-6.html	Pointing	Definitive
Irish Red And White Setter	Ireland	330		https://www.fci.be/en/nomenclature/IRISH-RED-AND-WHITE-SETTER-330.html	Pointing	Definitive
Irish Red Setter	Ireland	120		https://www.fci.be/en/nomenclature/IRISH-RED-SETTER-120.html	Pointing	Definitive
