Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status.
AUSTRALIAN KELPIE	AUSTRALIA	293		https://www.fci.be/en/nomenclature/AUSTRALIAN-KELPIE-293.html
CHIEN DE BERGER BELGE	BELGIUM	15	BELGIAN SHEPHERD DOG	https://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html
SCHIPPERKE	BELGIUM	83		https://www.fci.be/en/nomenclature/SCHIPPERKE-83.html
HRVATSKI OVCAR	CROATIA	277	CROATIAN SHEPHERD DOG	https://www.fci.be/en/nomenclature/CROATIAN-SHEPHERD-DOG-277.html
BERGER DE BEAUCE	FRANCE	44		https://www.fci.be/en/nomenclature/BERGER-DE-BEAUCE-44.html
BERGER DE BRIE	FRANCE	113	BRIARD	https://www.fci.be/en/nomenclature/BRIARD-113.html
CHIEN DE BERGER DES PYRENEES A POIL LONG	FRANCE	141	LONG-HAIRED PYRENEAN SHEEPDOG	https://www.fci.be/en/nomenclature/LONG-HAIRED-PYRENEAN-SHEEPDOG-141.html
BERGER DE PICARDIE	FRANCE	176	PICARDY SHEEPDOG	https://www.fci.be/en/nomenclature/PICARDY-SHEEPDOG-176.html
CHIEN DE BERGER DES PYRENEES A FACE RASE	FRANCE	138	PYRENEAN SHEEPDOG - SMOOTH FACED	https://www.fci.be/en/nomenclature/PYRENEAN-SHEEPDOG-SMOOTH-FACED-138.html
DEUTSCHER SCHÄFERHUND	GERMANY	166	GERMAN SHEPHERD DOG	https://www.fci.be/en/nomenclature/GERMAN-SHEPHERD-DOG-166.html
BEARDED COLLIE	GREAT BRITAIN	271		https://www.fci.be/en/nomenclature/BEARDED-COLLIE-271.html
BORDER COLLIE	GREAT BRITAIN	297		https://www.fci.be/en/nomenclature/BORDER-COLLIE-297.html
COLLIE ROUGH	GREAT BRITAIN	156		https://www.fci.be/en/nomenclature/COLLIE-ROUGH-156.html
COLLIE SMOOTH	GREAT BRITAIN	296		https://www.fci.be/en/nomenclature/COLLIE-SMOOTH-296.html
OLD ENGLISH SHEEPDOG	GREAT BRITAIN	16		https://www.fci.be/en/nomenclature/OLD-ENGLISH-SHEEPDOG-16.html
SHETLAND SHEEPDOG	GREAT BRITAIN	88		https://www.fci.be/en/nomenclature/SHETLAND-SHEEPDOG-88.html
KOMONDOR	HUNGARY	53		https://www.fci.be/en/nomenclature/KOMONDOR-53.html
KUVASZ	HUNGARY	54		https://www.fci.be/en/nomenclature/KUVASZ-54.html
MUDI	HUNGARY	238		https://www.fci.be/en/nomenclature/MUDI-238.html
PULI	HUNGARY	55		https://www.fci.be/en/nomenclature/PULI-55.html
PUMI	HUNGARY	56		https://www.fci.be/en/nomenclature/PUMI-56.html
CANE DA PASTORE BERGAMASCO	ITALY	194	BERGAMASCO SHEPHERD DOG	https://www.fci.be/en/nomenclature/BERGAMASCO-SHEPHERD-DOG-194.html
CANE DA PASTORE MAREMMANO-ABRUZZESE	ITALY	201	MAREMMA AND THE ABRUZZES SHEEPDOG	https://www.fci.be/en/nomenclature/MAREMMA-AND-THE-ABRUZZES-SHEEPDOG-201.html
POLSKI OWCZAREK NIZINNY	POLAND	251	POLISH LOWLAND SHEEPDOG	https://www.fci.be/en/nomenclature/POLISH-LOWLAND-SHEEPDOG-251.html
POLSKI OWCZAREK PODHALANSKI	POLAND	252	TATRA SHEPHERD DOG	https://www.fci.be/en/nomenclature/TATRA-SHEPHERD-DOG-252.html
CÃO DA SERRA DE AIRES	PORTUGAL	93	PORTUGUESE SHEEPDOG	https://www.fci.be/en/nomenclature/PORTUGUESE-SHEEPDOG-93.html
CIOBANESC ROMÂNESC CARPATIN	ROMANIA	350	ROMANIAN CARPATHIAN SHEPHERD DOG	https://www.fci.be/en/nomenclature/ROMANIAN-CARPATHIAN-SHEPHERD-DOG-350.html
CIOBANESC ROMÂNESC MIORITIC	ROMANIA	349	ROMANIAN MIORITIC SHEPHERD DOG	https://www.fci.be/en/nomenclature/ROMANIAN-MIORITIC-SHEPHERD-DOG-349.html
YUZHNORUSSKAYA OVCHARKA	RUSSIAN FEDERATION	326	SOUTH RUSSIAN SHEPHERD DOG	https://www.fci.be/en/nomenclature/SOUTH-RUSSIAN-SHEPHERD-DOG-326.html
CESKOSLOVENSKÝ VLCIAK	SLOVAKIA	332	CZECHOSLOVAKIAN WOLFDOG	https://www.fci.be/en/nomenclature/CZECHOSLOVAKIAN-WOLFDOG-332.html
SLOVENSKÝ CUVAC	SLOVAKIA	142	SLOVAKIAN CHUVACH	https://www.fci.be/en/nomenclature/SLOVAKIAN-CHUVACH-142.html
GOS D'ATURA CATALÀ	SPAIN	87	CATALAN SHEEPDOG	https://www.fci.be/en/nomenclature/CATALAN-SHEEPDOG-87.html
CA DE BESTIAR	SPAIN	321	MAJORCA SHEPHERD DOG	https://www.fci.be/en/nomenclature/MAJORCA-SHEPHERD-DOG-321.html
BERGER BLANC SUISSE	SWITZERLAND	347	WHITE SWISS SHEPHERD DOG	https://www.fci.be/en/nomenclature/WHITE-SWISS-SHEPHERD-DOG-347.html
NEDERLANDSE SCHAPENDOES	THE NETHERLANDS	313	DUTCH SCHAPENDOES	https://www.fci.be/en/nomenclature/DUTCH-SCHAPENDOES-313.html
HOLLANDSE HERDERSHOND	THE NETHERLANDS	223	DUTCH SHEPHERD DOG	https://www.fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html
SAARLOOSWOLFHOND	THE NETHERLANDS	311	SAARLOOS WOLFHOND	https://www.fci.be/en/nomenclature/SAARLOOS-WOLFHOND-311.html
AUSTRALIAN SHEPHERD	UNITED STATES OF AMERICA	342		https://www.fci.be/en/nomenclature/AUSTRALIAN-SHEPHERD-342.html
AUSTRALIAN CATTLE DOG	AUSTRALIA	287		https://www.fci.be/en/nomenclature/AUSTRALIAN-CATTLE-DOG-287.html
BOUVIER DES ARDENNES	BELGIUM	171		https://www.fci.be/en/nomenclature/BOUVIER-DES-ARDENNES-171.html
BOUVIER DES FLANDRES-VLAAMSE KOEHOND	BELGIUM, FRANCE	191	BOUVIER DES FLANDRES	https://www.fci.be/en/nomenclature/BOUVIER-DES-FLANDRES-191.html
WELSH CORGI	GREAT BRITAIN	PEMBROKE	39	https://www.fci.be/en/nomenclature/WELSH-CORGI-PEMBROKE-39.html
